node_id;label;type;degree
@CHEMICAL_Bevacizumab;@CHEMICAL_Bevacizumab;chemical;159.0
@CHEMICAL_Chlorophyll;@CHEMICAL_Chlorophyll;chemical;159.0
@CHEMICAL_Glycogen;@CHEMICAL_Glycogen;chemical;159.0
@CHEMICAL_Heme;@CHEMICAL_Heme;chemical;159.0
@CHEMICAL_Ibuprofen;@CHEMICAL_Ibuprofen;chemical;159.0
@CHEMICAL_N_Nitrosopyrrolidine;@CHEMICAL_N_Nitrosopyrrolidine;chemical;159.0
@CHEMICAL_nitrobenzene;@CHEMICAL_nitrobenzene;chemical;159.0
@CHEMICAL_4_vinyl_1_cyclohexene_dioxide;@CHEMICAL_4_vinyl_1_cyclohexene_dioxide;chemical;158.0
@CHEMICAL_Carmustine;@CHEMICAL_Carmustine;chemical;158.0
@CHEMICAL_Ethylene_Dibromide;@CHEMICAL_Ethylene_Dibromide;chemical;158.0
@CHEMICAL_Homocysteine;@CHEMICAL_Homocysteine;chemical;158.0
@CHEMICAL_Isoproterenol;@CHEMICAL_Isoproterenol;chemical;158.0
@CHEMICAL_Nitrilotriacetic_Acid;@CHEMICAL_Nitrilotriacetic_Acid;chemical;158.0
@CHEMICAL_hydrazine;@CHEMICAL_hydrazine;chemical;158.0
@CHEMICAL_indoleacetic_acid;@CHEMICAL_indoleacetic_acid;chemical;158.0
